"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"241" "o5_t2_mf_d1" "o5_t2_mf_d2" 1
"242" "o5_t2_mf_d1" "o5_t2_ap_d1" 0
"243" "o5_t2_mf_d1" "o5_t2_ap_d2" 1
"244" "o5_t2_mf_d1" "o5_t2_rp_d1" 0
"245" "o5_t2_mf_d1" "o5_t2_rp_d2" 0
"246" "o5_t2_mf_d2" "o5_t1_cs_d1" 0
"247" "o5_t2_mf_d2" "o5_t1_cs_d2" 1
"248" "o5_t2_mf_d2" "o5_t2_mf_d1" 0
"249" "o5_t2_mf_d2" "o5_t2_ap_d1" 0
"250" "o5_t2_mf_d2" "o5_t2_ap_d2" 0
"251" "o5_t2_mf_d2" "o5_t2_rp_d1" 0
"252" "o5_t2_mf_d2" "o5_t2_rp_d2" 0
"253" "o5_t2_ap_d1" "o5_t1_cs_d1" 1
"254" "o5_t2_ap_d1" "o5_t1_cs_d2" 1
"255" "o5_t2_ap_d1" "o5_t2_mf_d1" 1
"256" "o5_t2_ap_d1" "o5_t2_mf_d2" 1
"257" "o5_t2_ap_d1" "o5_t2_ap_d2" 1
"258" "o5_t2_ap_d1" "o5_t2_rp_d1" 1
"259" "o5_t2_ap_d1" "o5_t2_rp_d2" 1
"260" "o5_t2_ap_d2" "o5_t1_cs_d1" 0
"261" "o5_t2_ap_d2" "o5_t1_cs_d2" 1
"262" "o5_t2_ap_d2" "o5_t2_mf_d1" 0
"263" "o5_t2_ap_d2" "o5_t2_mf_d2" 1
"264" "o5_t2_ap_d2" "o5_t2_ap_d1" 0
"265" "o5_t2_ap_d2" "o5_t2_rp_d1" 0
"266" "o5_t2_ap_d2" "o5_t2_rp_d2" 0
"267" "o5_t2_rp_d1" "o5_t1_cs_d1" 1
"268" "o5_t2_rp_d1" "o5_t1_cs_d2" 1
"269" "o5_t2_rp_d1" "o5_t2_mf_d1" 1
"270" "o5_t2_rp_d1" "o5_t2_mf_d2" 1
"271" "o5_t2_rp_d1" "o5_t2_ap_d1" 0
"272" "o5_t2_rp_d1" "o5_t2_ap_d2" 1
"273" "o5_t2_rp_d1" "o5_t2_rp_d2" 1
"274" "o5_t2_rp_d2" "o5_t1_cs_d1" 1
"275" "o5_t2_rp_d2" "o5_t1_cs_d2" 1
"276" "o5_t2_rp_d2" "o5_t2_mf_d1" 1
"277" "o5_t2_rp_d2" "o5_t2_mf_d2" 1
"278" "o5_t2_rp_d2" "o5_t2_ap_d1" 0
"279" "o5_t2_rp_d2" "o5_t2_ap_d2" 1
"280" "o5_t2_rp_d2" "o5_t2_rp_d1" 0
"281" "o6_t1_cs_d1" "o6_t1_cs_d2" 1
"282" "o6_t1_cs_d1" "o6_t2_mf_d1" 1
"283" "o6_t1_cs_d1" "o6_t2_mf_d2" 1
"284" "o6_t1_cs_d1" "o6_t2_ap_d1" 1
"285" "o6_t1_cs_d1" "o6_t2_ap_d2" 1
"286" "o6_t1_cs_d1" "o6_t2_rp_d1" 1
"287" "o6_t1_cs_d1" "o6_t2_rp_d2" 0
"288" "o6_t1_cs_d2" "o6_t1_cs_d1" 0
"289" "o6_t1_cs_d2" "o6_t2_mf_d1" 1
"290" "o6_t1_cs_d2" "o6_t2_mf_d2" 1
"291" "o6_t1_cs_d2" "o6_t2_ap_d1" 1
"292" "o6_t1_cs_d2" "o6_t2_ap_d2" 1
"293" "o6_t1_cs_d2" "o6_t2_rp_d1" 1
"294" "o6_t1_cs_d2" "o6_t2_rp_d2" 0
"295" "o6_t2_mf_d1" "o6_t1_cs_d1" 0
"296" "o6_t2_mf_d1" "o6_t1_cs_d2" 0
"297" "o6_t2_mf_d1" "o6_t2_mf_d2" 0
"298" "o6_t2_mf_d1" "o6_t2_ap_d1" 0
"299" "o6_t2_mf_d1" "o6_t2_ap_d2" 0
"300" "o6_t2_mf_d1" "o6_t2_rp_d1" 0
"301" "o6_t2_mf_d1" "o6_t2_rp_d2" 0
"302" "o6_t2_mf_d2" "o6_t1_cs_d1" 0
"303" "o6_t2_mf_d2" "o6_t1_cs_d2" 0
"304" "o6_t2_mf_d2" "o6_t2_mf_d1" 1
"305" "o6_t2_mf_d2" "o6_t2_ap_d1" 1
"306" "o6_t2_mf_d2" "o6_t2_ap_d2" 1
"307" "o6_t2_mf_d2" "o6_t2_rp_d1" 0
"308" "o6_t2_mf_d2" "o6_t2_rp_d2" 0
"309" "o6_t2_ap_d1" "o6_t1_cs_d1" 0
"310" "o6_t2_ap_d1" "o6_t1_cs_d2" 0
"311" "o6_t2_ap_d1" "o6_t2_mf_d1" 1
"312" "o6_t2_ap_d1" "o6_t2_mf_d2" 0
"313" "o6_t2_ap_d1" "o6_t2_ap_d2" 0
"314" "o6_t2_ap_d1" "o6_t2_rp_d1" 0
"315" "o6_t2_ap_d1" "o6_t2_rp_d2" 0
"316" "o6_t2_ap_d2" "o6_t1_cs_d1" 0
"317" "o6_t2_ap_d2" "o6_t1_cs_d2" 0
"318" "o6_t2_ap_d2" "o6_t2_mf_d1" 1
"319" "o6_t2_ap_d2" "o6_t2_mf_d2" 0
"320" "o6_t2_ap_d2" "o6_t2_ap_d1" 1
"321" "o6_t2_ap_d2" "o6_t2_rp_d1" 0
"322" "o6_t2_ap_d2" "o6_t2_rp_d2" 0
"323" "o6_t2_rp_d1" "o6_t1_cs_d1" 0
"324" "o6_t2_rp_d1" "o6_t1_cs_d2" 0
"325" "o6_t2_rp_d1" "o6_t2_mf_d1" 1
"326" "o6_t2_rp_d1" "o6_t2_mf_d2" 1
"327" "o6_t2_rp_d1" "o6_t2_ap_d1" 1
"328" "o6_t2_rp_d1" "o6_t2_ap_d2" 1
"329" "o6_t2_rp_d1" "o6_t2_rp_d2" 0
"330" "o6_t2_rp_d2" "o6_t1_cs_d1" 1
"331" "o6_t2_rp_d2" "o6_t1_cs_d2" 1
"332" "o6_t2_rp_d2" "o6_t2_mf_d1" 1
"333" "o6_t2_rp_d2" "o6_t2_mf_d2" 1
"334" "o6_t2_rp_d2" "o6_t2_ap_d1" 1
"335" "o6_t2_rp_d2" "o6_t2_ap_d2" 1
"336" "o6_t2_rp_d2" "o6_t2_rp_d1" 1
"337" "o7_t1_cs_d1" "o7_t1_cs_d2" 0
"338" "o7_t1_cs_d1" "o7_t2_mf_d1" 0
"339" "o7_t1_cs_d1" "o7_t2_mf_d2" 0
"340" "o7_t1_cs_d1" "o7_t2_ap_d1" 0
"341" "o7_t1_cs_d1" "o7_t2_ap_d2" 0
"342" "o7_t1_cs_d1" "o7_t2_rp_d1" 0
"343" "o7_t1_cs_d1" "o7_t2_rp_d2" 0
"344" "o7_t1_cs_d2" "o7_t1_cs_d1" 1
"345" "o7_t1_cs_d2" "o7_t2_mf_d1" 1
"346" "o7_t1_cs_d2" "o7_t2_mf_d2" 1
"347" "o7_t1_cs_d2" "o7_t2_ap_d1" 1
"348" "o7_t1_cs_d2" "o7_t2_ap_d2" 1
"349" "o7_t1_cs_d2" "o7_t2_rp_d1" 0
"350" "o7_t1_cs_d2" "o7_t2_rp_d2" 1
"351" "o7_t2_mf_d1" "o7_t1_cs_d1" 1
"352" "o7_t2_mf_d1" "o7_t1_cs_d2" 0
"353" "o7_t2_mf_d1" "o7_t2_mf_d2" 1
"354" "o7_t2_mf_d1" "o7_t2_ap_d1" 1
"355" "o7_t2_mf_d1" "o7_t2_ap_d2" 0
"356" "o7_t2_mf_d1" "o7_t2_rp_d1" 0
